state,seed,source_file,samples_raw,duration_s,raw_fs_hz,view_fs_hz,band_low_hz,band_high_hz,epoch_start_s,epoch_end_s,rms_au,p99_9_abs_au,peak_abs_au,delta_pct,theta_pct,alpha_pct,beta_pct,dominant_hz,spectral_centroid_hz,excess_kurtosis
27,1,lfp_state27_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.08297669985888603,0.8740018067548866,1.4035109424276726,15.543353229582879,36.11500858685309,10.854180689538685,33.72308357560034,6.4453125,10.734417289107775,51.217430520193474
28,1,lfp_state28_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.03150523468197238,0.11803340817811776,0.16826354175758398,15.667613301718013,13.627648044958537,16.042252328283052,52.29858716410097,1.7578125,13.656603942390262,0.15339573395336625
29,1,lfp_state29_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.0966629476362786,0.9204177678211336,1.6747414063995762,19.785443458746677,36.68788328522273,9.504015797738045,30.76034520843854,6.640625,9.960058902565326,38.980310071594324
30,1,lfp_state30_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.034875412227594174,0.1276797885987771,0.19436503592516177,18.315912592111577,14.3247612914036,16.739428846714503,48.285606085946334,1.3671875,13.056249842983203,0.17994015138157105
31,1,lfp_state31_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.0755715564863621,0.8214587083631502,1.6161356355058802,11.442192887996885,36.206105855424454,10.323626807814733,37.84414824584718,6.4453125,11.43525836780409,72.38194295886142
32,1,lfp_state32_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.037023868490264136,0.13625191574674272,0.17267636273702952,19.85937506788738,14.454599052090211,15.403538147559336,48.18501792595739,1.5625,12.942226912390707,0.18680861339778376
33,1,lfp_state33_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.0367972064480293,0.13945682973631882,0.1776663496570516,18.684528528985215,14.62551564563433,16.630596755780232,47.83676104664572,2.1484375,12.892916322738264,0.2874853900817187
34,1,lfp_state34_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.8792991318339302,3.9178097960607836,6.273951901433255,93.77659929155833,2.5269290967323275,1.54506394612107,1.8055446260854968,0.78125,1.6623121579735463,1.4839563276045267
35,1,lfp_state35_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.5569541384861412,3.103718054896251,4.785812611617981,77.52402300309664,10.247845703348256,5.555945446693875,5.8394479741486025,0.78125,3.3687477407705093,4.267552093194816
36,1,lfp_state36_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.5381779604564692,3.1724008172356015,4.092751782451166,17.91211706443451,49.94852662939282,16.032876816448105,14.879649887191086,5.078125,7.594711502760475,4.827565168641204
37,1,lfp_state37_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.05933888636107211,0.20413553834481948,0.3722102755660426,20.31230686546303,0.9977340759294433,0.23492479206689354,78.21280043666887,20.3125,16.867469478284054,0.2533255668507328
38,1,lfp_state38_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,1.0203639998368148,3.4056720307516546,4.977954461733835,97.24732475955135,1.2213141744709402,0.639839034190117,0.6855922541825116,0.78125,1.1865842610744355,-0.1227293122133446
39,1,lfp_state39_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,1.2540412334354032,4.451672457921297,6.254345848643659,96.61475668058785,1.398049455247661,0.9431599367135827,0.8173127633148137,0.78125,1.2554977815082367,-0.34369903804663116
40,1,lfp_state40_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.6211849023117667,3.03252521257621,4.099335898801518,84.69726915100156,6.588416491370287,3.9908978036647347,4.033085195588129,0.78125,2.574780572115326,1.9888046624411544
41,1,lfp_state41_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.6047639979263267,3.1628780583822667,3.8216472950308287,85.09312704492366,6.304478247231443,3.8512076151815737,4.133598814761394,0.78125,2.6341240601849183,2.3715665524931904
42,1,lfp_state42_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.6425681111805738,2.8376453911360486,4.508050044158921,89.13578750317272,4.704756927270925,2.521541666281434,3.1584072144208752,0.78125,2.2564946863376987,1.4743040402056717
43,1,lfp_state43_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.65529812481607,3.1577678439737564,3.881002288679615,88.5260537719555,4.700790517509797,2.6740633107705656,3.5339234361017695,0.78125,2.2793132751926075,1.8849277349117362
44,1,lfp_state44_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.7779595361502633,3.5912274145431256,4.962322273366219,92.2051018146042,3.205620560767012,2.161980643548488,2.049978467449105,0.78125,1.8034596175042596,1.482445180588262
45,1,lfp_state45_seed1_nhost=8.txt,4800000,120.0,40000.0,200.0,0.5,30.0,10.0,119.0,0.6676996135054607,3.5922002819779415,4.868095748972534,63.36693975839855,18.257552795514997,7.270033735370823,9.538628554186284,0.78125,4.632670462997497,4.037732305784085
